year,title,artist
2016,Hello,Adele
2016,Sorry,Justin Bieber
2016,Hotline Bling,Drake
2016,Love Yourself,Justin Bieber
2016,What Do You Mean?,Justin Bieber
2016,Same Old Love,Selena Gomez
2016,The Hills,The Weeknd
2016,Here,Alessia Cara
2016,Stitches,Shawn Mendes
2016,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
2016,679,Fetty Wap Featuring Remy Boyz
2016,In The Night,The Weeknd
2016,Jumpman,Drake & Future
2016,On My Mind,Ellie Goulding
2016,Can't Feel My Face,The Weeknd
